,Dissimilarity a,Correlation a,Energy a,Contrast a,Homogeneity a,Dissimilarity b,Correlation b,Energy b,Contrast b,Homogeneity b,red 1/4 a,red 2/4 a,red 3/4 a,red 4/4 a,green 1/4 a,green 2/4 a,green 3/4 a,green 4/4 a,blue 1/4 a,blue 2/4 a,blue 3/4 a,blue 4/4 a,red 1/4 b,red 2/4 b,red 3/4 b,red 4/4 b,green 1/4 b,green 2/4 b,green 3/4 b,green 4/4 b,blue 1/4 b,blue 2/4 b,blue 3/4 b,blue 4/4 b,Result
0,13.160416666666666,-0.05923360063622665,0.042695628191498324,347.91458333333327,0.09824487862595287,14.109375000000002,0.07715773758408372,0.039802027446964164,386.15104166666663,0.08215974251317396,0,824,183,0,94,923,0,0,115,899,0,0,0,741,264,0,93,918,3,0,116,891,1,0,1
1,26.678125,0.5785442889254454,0.034485302827597604,1301.2385416666666,0.06336422492602634,29.087500000000002,0.4749450361762038,0.033398374045586245,1421.8729166666667,0.04313447275640715,0,84,439,482,39,237,631,88,48,325,583,45,0,89,533,382,40,312,603,45,53,414,514,22,1
2,10.140625,0.24277419688831525,0.04392326800480837,182.13020833333331,0.09727622144022964,10.551041666666666,0.18257569080275174,0.04370036867375632,193.48645833333333,0.09400114705166915,0,134,870,3,0,1011,10,0,6,1009,8,0,0,103,907,3,0,1012,10,0,5,1010,8,0,1
3,9.419791666666667,0.0968624879404004,0.04672429477501209,167.75104166666665,0.1118883327388806,9.690624999999999,0.1919304642698422,0.043947964811935386,173.23229166666667,0.10430931993065069,0,758,223,0,16,1002,1,0,32,985,1,0,0,748,243,0,20,998,1,0,41,976,1,0,1
4,13.951041666666667,0.2720284160182159,0.03830161731427133,373.39479166666666,0.07119137932297072,11.852083333333335,0.4656770467224027,0.038386512026433915,253.8145833333333,0.08163824344889299,0,384,610,7,18,975,25,0,36,964,17,0,0,396,603,7,18,980,19,0,30,974,14,0,1
5,17.114583333333332,0.5109900724685803,0.03578242507774514,539.46875,0.06801720519351083,26.678125,0.5785442889254454,0.034485302827597604,1301.2385416666666,0.06336422492602634,0,266,713,33,46,858,93,7,85,876,45,1,0,84,439,482,39,237,631,88,48,325,583,45,0
6,10.376041666666667,0.2496667172793793,0.04473106365329977,202.67812500000002,0.11961856603592143,26.678125,0.5785442889254454,0.034485302827597604,1301.2385416666666,0.06336422492602634,0,703,302,0,17,993,6,0,30,983,4,0,0,84,439,482,39,237,631,88,48,325,583,45,0
7,9.488541666666666,0.11322239127135661,0.04646814171499054,172.65312500000002,0.11064172850701175,26.678125,0.5785442889254454,0.034485302827597604,1301.2385416666666,0.06336422492602634,0,720,257,0,15,1005,2,0,21,997,2,0,0,84,439,482,39,237,631,88,48,325,583,45,0
8,9.913541666666667,0.2049938543208427,0.0452615853800009,194.07604166666667,0.11714998707056816,26.678125,0.5785442889254454,0.034485302827597604,1301.2385416666666,0.06336422492602634,0,813,188,0,69,952,0,0,94,921,0,0,0,84,439,482,39,237,631,88,48,325,583,45,0
9,9.436458333333333,0.13695276323271208,0.04684026490816066,153.42395833333333,0.10955232699089852,26.678125,0.5785442889254454,0.034485302827597604,1301.2385416666666,0.06336422492602634,0,138,867,0,1,1022,0,0,11,1012,0,0,0,84,439,482,39,237,631,88,48,325,583,45,0
10,6.415625,0.5900469546113423,0.05105229481184519,72.15520833333333,0.15763203291844433,6.21875,0.5233798057966208,0.05384519993050036,68.07708333333333,0.15918445865788267,0,0,1006,15,0,979,36,0,77,935,0,0,0,0,981,37,0,910,95,0,35,985,0,0,1
11,8.017708333333333,0.7264114116114736,0.044706799445572785,117.72604166666666,0.12787805929361243,6.848958333333333,0.6437030001311175,0.05256031588142861,88.57395833333334,0.1533925793470562,0,103,906,4,27,968,18,0,533,455,0,0,0,40,973,4,10,996,12,0,387,602,0,0,1
12,8.965625,0.3870499183599144,0.04606946747394996,136.66145833333331,0.10891582347615548,8.965625,0.3870499183599144,0.04606946747394996,136.66145833333331,0.10891582347615548,0,43,977,0,17,1007,0,0,528,458,0,0,0,43,977,0,17,1007,0,0,528,458,0,0,1
13,4.1812499999999995,0.34999723171890007,0.07421463804398698,28.78333333333333,0.21064198572847737,4.570833333333334,0.6176829803724082,0.06355020434445685,35.235416666666666,0.20078976029288165,0,0,7,1010,0,3,1021,0,0,1023,1,0,0,0,54,938,0,21,997,0,0,1024,0,0,1
14,7.236458333333334,0.5196380461826322,0.046514819920346055,84.74270833333334,0.12808192926532072,7.236458333333334,0.5196380461826322,0.046514819920346055,84.74270833333334,0.12808192926532072,0,12,1008,0,1,1023,0,0,448,520,0,0,0,12,1008,0,1,1023,0,0,448,520,0,0,1
15,4.65,0.31063332597865667,0.07040310520298251,35.81666666666666,0.19267807574941992,13.160416666666666,-0.05923360063622665,0.042695628191498324,347.91458333333327,0.09824487862595287,0,0,60,947,0,5,1017,0,0,1024,0,0,0,824,183,0,94,923,0,0,115,899,0,0,0
16,7.992708333333333,0.4935417266685059,0.04490054596302563,113.33020833333333,0.1297099241214778,13.160416666666666,-0.05923360063622665,0.042695628191498324,347.91458333333327,0.09824487862595287,0,27,992,0,0,1024,0,0,367,627,0,0,0,824,183,0,94,923,0,0,115,899,0,0,0
17,5.20625,0.6557520834985333,0.053012544374997805,44.80416666666667,0.17108238353670546,17.114583333333332,0.5109900724685803,0.03578242507774514,539.46875,0.06801720519351083,0,0,374,604,0,123,874,0,1,1023,0,0,0,266,713,33,46,858,93,7,85,876,45,1,0
18,5.709375,0.3257954527059181,0.05781015385629837,53.63645833333334,0.16398550419104863,17.114583333333332,0.5109900724685803,0.03578242507774514,539.46875,0.06801720519351083,0,0,974,36,0,837,152,0,11,1010,0,0,0,266,713,33,46,858,93,7,85,876,45,1,0
19,5.282291666666667,0.50470050452168,0.05974845999874994,46.34895833333333,0.18191040620274435,13.951041666666667,0.2720284160182159,0.03830161731427133,373.39479166666666,0.07119137932297072,0,0,114,880,0,63,953,0,1,1022,0,0,0,384,610,7,18,975,25,0,36,964,17,0,0
20,10.377083333333333,0.5193676686217089,0.04026280852101602,184.79583333333335,0.09919077793507042,10.494791666666668,0.5805702180811746,0.03911454865733039,183.29270833333334,0.09467485846310925,0,70,931,12,160,843,2,0,933,75,0,0,0,56,933,23,120,882,2,0,923,82,0,0,1
21,7.5531250000000005,0.5502931971222977,0.048074919830059695,106.303125,0.1347990560271024,6.1343749999999995,0.4330486351946659,0.05782892034075838,69.009375,0.15181704784675262,0,0,1,1020,0,2,1015,6,0,151,864,0,0,0,0,1022,0,0,1021,2,0,65,952,0,1
22,10.561458333333333,0.6210844124986415,0.03958333333333333,206.9489583333333,0.1001939767010294,9.709375,0.7120004858500303,0.040235849824641595,172.884375,0.10750342398333888,0,1,702,306,14,949,55,0,746,258,0,0,0,23,769,219,26,954,34,0,828,177,0,0,1
23,7.897916666666667,0.5891556219169751,0.04279716371702945,109.90625,0.1308497658055503,8.714583333333334,0.6367463124718084,0.04050462936504913,135.39375,0.12110825096681443,0,65,946,1,96,912,0,0,996,26,0,0,0,71,934,7,94,918,0,0,957,62,0,0,1
24,9.571874999999999,0.587384548099432,0.04026280852101602,149.40937499999998,0.10095970245528257,9.1,0.638966226304916,0.040477831724428016,136.92708333333331,0.11069406253293725,0,134,878,4,184,812,0,0,969,40,0,0,0,145,867,4,172,832,0,0,970,43,0,0,1
25,10.421874999999998,0.5643645441870235,0.037788244056702204,191.371875,0.08927248300055018,7.5531250000000005,0.5502931971222977,0.048074919830059695,106.303125,0.1347990560271024,0,0,827,180,17,997,5,0,874,131,0,0,0,0,1,1020,0,2,1015,6,0,151,864,0,0
26,11.960416666666665,0.4838490213831399,0.03827327723098716,269.92499999999995,0.09608350672519245,7.5531250000000005,0.5502931971222977,0.048074919830059695,106.303125,0.1347990560271024,0,46,944,26,111,905,2,0,899,112,0,0,0,0,1,1020,0,2,1015,6,0,151,864,0,0
